Opponent,Matches,Score,Win%
Lugia Archeops,2,0 - 1 - 1,0.00%
Regis,1,1 - 0 - 0,100.00%
Mew Genesect,1,0 - 0 - 1,0.00%
Other,1,0 - 0 - 1,0.00%
Eternatus,1,0 - 0 - 1,0.00%
Lost Zone Box,1,0 - 0 - 1,0.00%
Arceus Tapu Koko,1,0 - 0 - 1,0.00%
Palkia,1,0 - 1 - 0,0.00%
Regidrago,1,0 - 1 - 0,0.00%
